#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
134,"Oasis Network
ROSE","$0,052186021169",0.2%,0.7%,-3.4%,-18.3%,$13 021 376,5 029 357 184,10 milliard,$262 453 616
135,"Theta Fuel
TFUEL","$0,042729855476",0.1%,-0.2%,-3.9%,-17.9%,$2 996 920,6 145 479 490,"6,15 milliard",$262 417 856
136,"Staked Frax Ether
SFRXETH","$1 897,12",0.3%,0.8%,-0.6%,-0.3%,"$1 162,73",137 890,138 millier,$261 593 259
137,"Ethereum Name Service
ENS","$10,14",0.2%,1.0%,-4.3%,-16.8%,$9 463 582,25 783 233,100 million,$261 506 606
138,"STEPN
GMT","$0,302531",1.9%,11.1%,8.6%,-9.6%,$151 611 141,862 234 249,"5,5 milliard",$260 855 764
139,"Chia
XCH","$35,19",-0.1%,-0.5%,-4.6%,-16.6%,$1 349 838,7 397 050,"28,4 million",$260 351 811
140,"Celo
CELO","$0,519691",0.2%,0.2%,-2.2%,-16.0%,$5 425 533,498 369 748,1 milliard,$258 963 702
141,"Audius
AUDIO","$0,247250",0.9%,2.6%,0.9%,-19.1%,$6 540 741,1 045 289 093,"1,16 milliard",$258 243 515
142,"Ravencoin
RVN","$0,021686831188",0.1%,0.0%,-0.7%,-9.5%,$4 930 772,11 907 968 089,"11,9 milliard",$258 243 048
143,"Fetch.ai
FET","$0,242708",0.3%,-1.6%,-3.8%,-30.6%,$41 288 306,1 043 462 805,"1,15 milliard",$253 247 840
144,"DeFiChain
DFI","$0,353847",-0.0%,-0.4%,-4.1%,-23.1%,$3 644 964,703 731 082,"1,2 milliard",$249 020 663
145,"Decred
DCR","$16,61",-0.0%,-0.6%,-5.9%,-13.0%,$588 454,14 965 919,21 million,$248 992 237
146,"LINK
LN","$36,44",0.3%,-1.4%,-2.5%,-3.8%,$462 613,6 830 817,"6,83 million",$248 889 417
147,"Terra
LUNA","$0,907723",0.3%,-0.5%,-3.8%,-26.4%,$11 956 594,271 341 460,"1,08 milliard",$246 302 858
148,"Illuvium
ILV","$46,72",0.7%,0.6%,1.4%,-13.8%,$3 186 852,5 219 738,"9,63 million",$243 352 265
149,"SXP
SXP","$0,428588",0.1%,-0.9%,-1.7%,-21.7%,$15 673 776,565 253 614,565 million,$242 260 885
150,"ICON
ICX","$0,252042",0.2%,0.6%,-2.7%,-18.7%,$7 473 027,957 852 687,967 million,$241 214 177
151,"Compound
COMP","$35,13",0.1%,2.0%,-0.3%,-12.1%,$6 011 354,6 856 086,10 million,$240 858 684
152,"Huobi BTC
HBTC","$26 857,44",0.0%,-2.7%,-5.3%,-3.0%,$248 558,8 969,"8,97 millier",$240 853 669
153,"Aleph Zero
AZERO","$1,05",-0.3%,-2.9%,-14.7%,-21.3%,$714 167,228 913 353,332 million,$240 055 505
154,"tomiNet
TOMI","$3,78",-0.5%,7.6%,6.5%,43.5%,$16 946 561,62 651 273,112 million,$236 627 382
155,"Astar
ASTR","$0,052398463142",0.2%,1.4%,-0.2%,-13.0%,$2 718 010,4 508 836 477,"7,94 milliard",$236 237 845
156,"Convex CRV
CVXCRV","$0,800511",0.2%,0.9%,6.0%,-4.8%,$115 177,292 157 348,292 million,$233 835 233
157,"Bitcoin Gold
BTG","$13,18",0.1%,-0.8%,-1.3%,-14.7%,$1 944 346,17 513 924,21 million,$231 209 607
158,"JasmyCoin
JASMY","$0,004842877752",-0.2%,-0.7%,-1.2%,-19.6%,$23 242 244,47 569 999 999,50 milliard,$230 368 486
159,"Beldex
BDX","$0,042970833647",0.0%,0.9%,-2.8%,-22.4%,$2 464 768,5 327 757 807,"9,92 milliard",$228 834 592
160,"Escoin
ELG","$2,82",-0.0%,0.6%,-0.0%,-0.7%,$256 798,0,250 million,$228 752 259
161,"Kusama
KSM","$25,33",0.4%,0.5%,-1.8%,-17.0%,$7 400 674,8 980 098,10 million,$227 412 075
162,"EthereumPoW
ETHW","$2,08",-0.2%,1.5%,2.4%,-32.4%,$13 026 024,107 818 943,108 million,$224 630 082
163,"Euro Tether
EURT","$1,08",-0.0%,0.0%,-0.6%,-1.3%,$1 578 063,205 998 830,400 million,$222 776 810
164,"DAO Maker
DAO","$1,34",0.2%,-4.5%,-2.4%,-7.0%,$1 625 612,165 776 000,278 million,$222 298 049
165,"Balancer
BAL","$5,40",0.2%,1.9%,-2.8%,-12.4%,$2 598 568,41 166 618,"57,1 million",$222 284 088
166,"yearn.finance
YFI","$6 627,15",-0.2%,0.7%,-5.0%,-20.0%,$12 892 004,32 978,"36,7 millier",$219 408 031
167,"Blur
BLUR","$0,460644",0.2%,-0.9%,-5.2%,-25.5%,$17 086 626,474 439 088,3 milliard,$218 457 423
168,"Ronin
RON","$1,00",0.6%,2.6%,4.6%,-8.5%,$1 504 025,217 319 353,1 milliard,$217 785 643
169,"JUST
JST","$0,024414703338",-0.1%,2.4%,3.8%,-6.7%,$15 220 043,8 902 080 000,"9,9 milliard",$217 335 790
170,"IoTeX
IOTX","$0,022941110627",0.2%,1.9%,1.3%,-3.4%,$3 590 505,9 447 254 322,"9,5 milliard",$216 790 622
171,"Helium
HNT","$1,50",-0.1%,4.7%,9.6%,-20.3%,$71 818 925,143 934 821,223 million,$215 578 361
172,"ORDI
ORDI","$10,26",1.8%,-3.9%,-33.5%,,$64 725 048,21 000 000,21 million,$215 313 853
173,"WEMIX
WEMIX","$0,852408",0.0%,-2.3%,-2.7%,-32.4%,$3 098 780,251 474 070,965 million,$214 377 644
174,"Golem
GLM","$0,213043",0.1%,-0.1%,-2.4%,-12.1%,$2 144 612,1 000 000 000,1 milliard,$212 942 502
175,"Ankr Network
ANKR","$0,025636519410",0.2%,0.8%,-8.2%,-21.3%,$13 030 885,8 162 899 378,10 milliard,$209 266 423
176,"Olympus
OHM","$10,49",-0.2%,-0.0%,-0.5%,0.2%,$281 200,19 505 561,"26,7 million",$204 550 763
177,"Ontology
ONT","$0,230128",0.8%,6.9%,12.1%,-8.2%,$31 648 619,885 082 857,1 milliard,$203 652 775
178,"Harmony
ONE","$0,015974599640",0.0%,-1.1%,-3.8%,-21.8%,$9 728 596,12 305 426 115,"13,2 milliard",$197 260 185
179,"Magic
MAGIC","$0,894386",0.2%,-0.4%,2.2%,-22.7%,$15 091 880,215 191 662,340 million,$192 477 344
